percentile,n_cells,expected_residuals,actual_residuals,extra_residuals,MSE,RMSE,MAE,Median_AE,Q95_AE
50th,87693,526158,526187,29,1.10711119046457e-06,0.0010521935137913414,0.0006268415459066124,0.00017508410794805001,0.0024809732847511
60th,78910,473460,473489,29,8.86749527177468e-07,0.0009416737902147792,0.0005684511211637292,0.00017316440804185,0.002239429557336645
70th,70168,421008,421037,29,6.926792929403587e-07,0.0008322735685700698,0.0005032443560831559,0.0001707245157308,0.0019952448291026795
80th,61445,368670,368699,29,5.269704284999104e-07,0.000725927288714173,0.00043101687735762996,0.000168922911664,0.0017430452191668697
90th,52669,316014,316043,29,4.0645430543981274e-07,0.0006375376894269176,0.0003551409972790269,0.00012929947974895,0.001500238637574405
