percentile,RMSE,MAE,combined_score,rank
90th,0.0006375376894269176,0.0003551409972790269,0.22284019843927305,1
70th,0.0008322735685700698,0.0005032443560831559,0.4500805138903969,2
80th,0.000725927288714173,0.00043101687735762996,0.4974755533218003,3
60th,0.0009416737902147792,0.0005684511211637292,0.5061863635161644,4
50th,0.0010521935137913414,0.0006268415459066124,0.8352257106473916,5
