percentile,RMSE,MAE,model,RMSE_5types,MAE_5types,RMSE_diff,MAE_diff
50th,0.0010521935137913,0.0006268415459066,50th,0.0013234175335257,0.000874774043282,-0.0002712240197344001,-0.00024793249737539995
60th,0.0009416737902147,0.0005684511211637,60th,0.0011521820946366,0.0007414745884292,-0.0002105083044219001,-0.00017302346726549996
70th,0.00083227356857,0.0005032443560831,70th,0.0009845424474756,0.0006090817571551,-0.00015226887890559988,-0.00010583740107200006
80th,0.0007259272887141,0.0004310168773576,80th,0.0008226408799118,0.0004845823404529,-9.671359119770007e-05,-5.35654630953e-05
90th,0.0006375376894269,0.000355140997279,90th,0.0006908949713803,0.0003906137259853,-5.335728195340005e-05,-3.547272870629999e-05
